"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
1209862,"Fedora","dnf-plugins-extras",,"CLOSED","NEXTRELEASE","Installing dnf-plugins-extras causes errors about /var/lib/dnf/plugins/local","2017-04-19 11:06:51"
1272686,"Fedora","systemd",,"CLOSED","ERRATA","systemd-vconsole-setup.service always fails if no VGA console","2017-06-17 15:43:39"
1375845,"Fedora","xiphos",,"CLOSED","RAWHIDE","xiphos must not depend on webkitgtk3","2017-05-30 09:07:51"
1446641,"Fedora","dnf-plugins-core",,"CLOSED","ERRATA","dnf repoquery --duplicates --latest-limit -1 -q does not work","2017-05-14 16:19:41"
1447777,"Fedora","dracut",,"CLOSED","ERRATA","Since curl-7.53.1-7.fc26 , curl TLS transactions in initramfs environment are broken","2017-05-17 07:55:17"
1420508,"Fedora","hugin","Bruno Postle","CLOSED","RAWHIDE","FTBFS in current Rawhide (issue in vigra headers?)","2017-03-02 18:42:27"
1254784,"Fedora","gnome-boxes","Christophe Fergeau","CLOSED","ERRATA","[abrt] gnome-boxes: boxes_wizard_toolbar_set_title_for_page(): gnome-boxes killed by SIGSEGV","2017-06-16 13:49:23"
1435831,"Fedora","openvpn","David Sommerseth","CLOSED","ERRATA","openvpn@.service uses --daemon and --writepid","2017-04-08 19:20:34"
1443749,"Fedora","openvpn","David Sommerseth","CLOSED","ERRATA","No MD5 support available","2017-05-14 16:21:23"
1258818,"Fedora","gtk3","Debarshi Ray","CLOSED","ERRATA","Many apps crash in gdk_event_source_prepare when logging out of GNOME","2017-06-09 15:12:03"
1440710,"Fedora","puppet","Dominic Cleal","CLOSED","ERRATA","monkey_patches.rb:104:in `<class:SSLContext>': undefined method `<<' for nil:NilClass (NoMethodError)","2017-06-09 15:08:17"
1285919,"Fedora","transmission","Gwyn Ciesla","CLOSED","CURRENTRELEASE","transmission-gtk 's icon can't be shown in Gnome3 panel with wayland","2017-04-24 20:50:32"
1460276,"Fedora","gt","Hans de Goede","CLOSED","RAWHIDE","gt fails to build on fast, multi-processor, huge memory machines","2017-06-16 12:00:49"
1427918,"Fedora","qpid-proton","Irina Boverman","CLOSED","ERRATA","qpid-proton: FTBFS - error: -Wformat-security ignored without -Wformat [-Werror=format-security]","2017-06-09 14:55:22"
915032,"Fedora","spec2scl","Iryna Shcherbina","CLOSED","ERRATA","missing man page for spec2scl","2017-04-27 16:52:00"
1401172,"Fedora","libldb","Jakub Hrozek","CLOSED","ERRATA","Missing symbol versioning provided by libldb.so with strict CFLAGS","2017-04-03 12:09:58"
1406666,"Fedora","openssh","Jakub Jelen","CLOSED","CURRENTRELEASE","[x86_64] sshd dies with SIGSYS","2017-04-28 08:48:49"
1417945,"Fedora","gcc","Jakub Jelinek","CLOSED","RAWHIDE","internal compiler error: in tsubst_copy, at cp/pt.c:14398","2017-03-01 15:44:59"
1383855,"Fedora","lsyncd","Jason Taylor","CLOSED","CURRENTRELEASE","lsyncd 2.1.6 is available, fixes security vulnerability CVE-2014-8990","2017-03-04 19:33:24"
1427891,"Fedora","cvc4","Jerry James","CLOSED","RAWHIDE","cvc4: FTBFS - cc1plus: error: -Wformat-security ignored without -Wformat [-Werror=format-security]","2017-03-03 17:29:18"
1423751,"Fedora","java-1.8.0-openjdk","jiri vanek","CLOSED","CURRENTRELEASE","java-1.8.0-openjdk: FTBFS in rawhide","2017-03-29 09:47:19"
1422542,"Fedora","rsyslog","Jiří Vymazal","CLOSED","ERRATA","Missing chdir call after chroot","2017-03-13 22:21:02"
1444774,"Fedora","coreutils","Kamil Dudka","CLOSED","ERRATA","heap overflow security issue in date(1) and touch(1)","2017-05-01 14:17:10"
1432667,"Fedora","kernel","Kernel Maintainer List","CLOSED","ERRATA","kernel 4.11.0-0.rc2.git0.1.fc26 oops on Allwinner SoCs","2017-03-22 17:14:42"
1411360,"Fedora","selinux-policy","Lukas Vrabec","CLOSED","ERRATA","SELinux is preventing (ostnamed) from 'mounton' accesses on the file /proc/mtrr.","2017-03-20 22:40:24"
1375831,"Fedora","cairo-dock-plug-ins","Mamoru TASAKA","CLOSED","RAWHIDE","cairo-dock-plug-ins must not depend on webkitgtk3","2017-04-01 00:54:52"
1375838,"Fedora","gphotoframe","Mamoru TASAKA","CLOSED","RAWHIDE","gphotoframe must not depend on webkitgtk3","2017-03-31 02:45:34"
1443987,"Fedora","mediawriter","Martin Bříza","CLOSED","WONTFIX","Unable to run latest mediawriter.exe on Win7","2017-04-24 05:06:26"
985344,"Fedora","libdigidocpp","Mihkel Vain","CLOSED","ERRATA","libdigidocpp does not build because /usr/include/minizip/crypt.h is not compatible with C++ compiler","2017-03-05 21:51:14"
1427189,"Fedora","jetty","Mikolaj Izdebski","CLOSED","CURRENTRELEASE","Unresolved OSGi requirement breaks Eclipse help system","2017-04-18 17:50:37"
1432558,"Fedora","libuser","Miloslav Trmač","CLOSED","RAWHIDE","FTBFS: libuser doesn't build on current F26 due to -Werror=format-security","2017-03-16 13:25:19"
1404439,"Fedora","nss","nss-nspr-maint","CLOSED","NEXTRELEASE","[Crash] Firefox immediately crashes after startup if crypto-policies is set to FUTURE","2017-04-23 20:02:18"
1389616,"Fedora","libfabric","Orion Poplawski","CLOSED","ERRATA","libfabric-1.4.0 is available","2017-06-15 05:21:39"
1441305,"Fedora","perl-Log-Trivial","Orion Poplawski","CLOSED","RAWHIDE","perl-Log-Trivial-0.40-7.fc27 FTBFS: gpg: Can't check signature: No public key","2017-04-11 15:33:04"
1165554,"Fedora","perl-ZMQ-LibZMQ3","Petr Pisar","CLOSED","NEXTRELEASE","Request to retire perl-ZMQ-LibZMQ3","2017-03-29 13:22:04"
1165555,"Fedora","perl-ZMQ-LibZMQ2","Petr Pisar","CLOSED","NEXTRELEASE","Request to retire perl-ZMQ-LibZMQ2","2017-03-29 13:19:37"
1135681,"Fedora","bodhi","Randy Barlow","CLOSED","ERRATA","Remove mock dependency from bodhi-client","2017-05-24 12:53:02"
1375823,"Fedora","gmusicbrowser","Remi Collet","CLOSED","RAWHIDE","gmusicbrowser must not depend on webkitgtk","2017-03-28 05:56:46"
1375832,"Fedora","dwb","Sébastien Willmann","CLOSED","WONTFIX","dwb must not depend on webkitgtk3","2017-06-04 08:58:46"
1401175,"Fedora","libtdb","Simo Sorce","CLOSED","RAWHIDE","Missing symbol versioning provided by libtdb.so","2017-02-28 06:03:35"
1060323,"Fedora","rootplot","Steve Traylen","CLOSED","ERRATA","rootplot-debuginfo-2.2.1-9 is empty","2017-04-04 12:04:06"
1445017,"Fedora","realmd","Sumit Bose","CLOSED","ERRATA","After enrolling in an AD domain with realmd, no responders are started","2017-04-27 16:54:43"
1432582,"Fedora","authconfig","Tomas Mraz","CLOSED","ERRATA","authconfig 7.0.0 breaks nsswitch.conf (empty passwd, shadow and group lines)","2017-03-16 21:08:16"
1453066,"Fedora","openssl","Tomas Mraz","CLOSED","ERRATA","Can't connect to PEAP / GTC wireless network","2017-06-17 15:43:29"
