"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
1228426,"Fedora","NetworkManager","Lubomir Rintel","NEW"," ---","When activating OpenVPN without DHCP6, random traffic will be routed without VPN","2017-05-02 02:52:59"
1417569,"Fedora","svgsalamander","Cédric OLIVIER","NEW"," ---","CVE-2017-5617 svgsalamander: Server side request forgery via crafted scheme attributes [fedora-all]","2017-01-30 05:09:18"
1411814,"Fedora","bubblewrap","Colin Walters","NEW"," ---","CVE-2017-5226 bubblewrap: Nonprivileged session can escape to the parent session by using the TIOCSTI ioctl [fedora-all]","2017-01-10 09:47:16"
1462226,"Fedora","libxml2","Daniel Veillard","NEW"," ---","CVE-2017-0663 CVE-2017-7375 CVE-2017-7376 libxml2: various flaws [fedora-all]","2017-06-16 08:49:27"
1451000,"Fedora","openvpn","David Sommerseth","NEW"," ---","CVE-2017-7478 CVE-2017-7479 openvpn: various flaws [fedora-all]","2017-05-15 10:32:16"
1405413,"Fedora","FlightGear","Fabrice Bellet","NEW"," ---","CVE-2016-9956 FlightGear: Route manager allows overwrite of arbitrary files [fedora-all]","2016-12-16 08:01:05"
1461299,"Fedora","python-tablib","Fedora Infrastructure SIG","NEW"," ---","CVE-2017-2810 python-tablib: Databook loading functionality allows command execution [fedora-all]","2017-06-14 03:24:10"
1413945,"Fedora","qemu","Fedora Virtualization Maintainers","NEW"," ---","CVE-2016-9602 Qemu: 9p: virtfs allows guest to access host filesystem [fedora-all]","2017-03-14 15:24:26"
1432040,"Fedora","qemu","Fedora Virtualization Maintainers","NEW"," ---","CVE-2016-9603 Qemu: cirrus: heap buffer overflow via vnc connection [fedora-all]","2017-03-14 16:06:10"
1443403,"Fedora","qemu","Fedora Virtualization Maintainers","NEW"," ---","CVE-2017-7471 Qemu: 9p: virtfs allows guest to change filesystem attributes on host [fedora-all]","2017-04-19 04:00:34"
1444372,"Fedora","qemu","Fedora Virtualization Maintainers","NEW"," ---","CVE-2017-7980 Qemu: display: cirrus: OOB r/w access issues in bitblt routines [fedora-all]","2017-04-21 05:01:51"
1409592,"Fedora","php-ZendFramework","Felix Kaechele","NEW"," ---","CVE-2016-10034 php-ZendFramework: Parameter injection in setFrom() function [fedora-all]","2017-01-28 19:54:39"
1413505,"Fedora","groovy18","gil cattaneo","NEW"," ---","CVE-2016-6814 groovy18: Apache Groovy: Information disclosure [fedora-all]","2017-01-16 03:43:15"
1444418,"Fedora","mysql-connector-java","gil cattaneo","NEW"," ---","CVE-2017-3523 CVE-2017-3586 CVE-2017-3589 mysql-connector-java: various flaws [fedora-all]","2017-04-24 04:31:40"
1425809,"Fedora","nodejs-shelljs","Jamie Nguyen","NEW"," ---","nodejs-shelljs: Command injection via shell.exec() call [fedora-all]","2017-02-22 08:40:49"
1427874,"Fedora","nodejs-qs","Jamie Nguyen","NEW"," ---","nodejs-qs: Prototype override protection bypass [fedora-all]","2017-03-01 07:52:20"
1431018,"Fedora","pidgin","Jan Synacek","NEW"," ---","CVE-2017-2640 pidgin: Out-of-bounds write in purple_markup_unescape_entity triggered by invalid XML [fedora-all]","2017-04-25 07:28:14"
1422752,"Fedora","openjpeg","Jaromír Cápík","NEW"," ---","CVE-2016-5139 CVE-2016-5158 CVE-2016-5159 openjpeg: various flaws [fedora-all]","2017-02-16 00:24:28"
1402870,"Fedora","nagios","Keiran Smith","NEW"," ---","CVE-2016-9566 nagios: Privilege escalation issue [fedora-all]","2017-01-20 16:23:07"
1405364,"Fedora","nagios","Keiran Smith","NEW"," ---","CVE-2016-9565 nagios: Command injection via curl in MagpieRSS [fedora-all]","2017-01-20 16:23:03"
1444401,"Fedora","kernel","Kernel Maintainer List","NEW"," ---","kernel: ipv6: Malicious packet DoS via IPv6 raw sockets [fedora-all]","2017-04-21 05:37:09"
1444373,"Fedora","xen","Michael Young","NEW"," ---","CVE-2017-7980 xen: Qemu: display: cirrus: OOB r/w access issues in bitblt routines [fedora-all]","2017-04-21 05:02:11"
1443408,"Fedora","mariadb","Michal Schorm","NEW"," ---","CVE-2017-3308 CVE-2017-3309 CVE-2017-3453 CVE-2017-3456 CVE-2017-3461 CVE-2017-3462 CVE-2017-3463 CVE-2017-3464 mariadb: various flaws [fedora-all]","2017-04-24 07:10:32"
1418736,"Fedora","jenkins","Michal Srb","NEW"," ---","CVE-2017-2598 CVE-2017-2599 CVE-2017-2600 CVE-2017-2601 CVE-2017-2602 CVE-2017-2604 CVE-2017-2605 CVE-2017-2606 CVE-2017-2607 CVE-2017-2608 CVE-2017-2609 CVE-2017-2610 CVE-2017-2611 CVE-2017-2612 CVE-2017-2613 jenkins: various flaws [fedora-all]","2017-02-02 10:48:39"
1443535,"Fedora","jenkins-task-reactor","Michal Srb","NEW"," ---","jenkins-task-reactor: Running arbitrary Groovy code in Jenskin JVM via Reactor Event (SECURITY-487) [fedora-all]","2017-04-19 08:42:26"
1446133,"Fedora","jenkins","Michal Srb","NEW"," ---","CVE-2017-1000353 CVE-2017-1000354 CVE-2017-1000355 CVE-2017-1000356 jenkins: various flaws [fedora-all]","2017-05-18 17:25:49"
1462228,"Fedora","mingw-libxml2","Richard W.M. Jones","NEW"," ---","CVE-2017-0663 CVE-2017-7375 CVE-2017-7376 mingw-libxml2: various flaws [fedora-all]","2017-06-16 08:49:27"
1435070,"Fedora","openjpeg2","Sandro Mani","NEW"," ---","CVE-2016-5159 openjpeg2: chromium-browser, openjpeg: heap overflow in parsing of JPEG2000 code blocks [fedora-all]","2017-03-23 00:09:59"
1435071,"Fedora","openjpeg2","Sandro Mani","NEW"," ---","CVE-2016-5158 openjpeg2: chromium-browser, openjpeg: heap overflow due to unsafe use of opj_aligned_malloc [fedora-all]","2017-03-23 00:10:29"
1435072,"Fedora","openjpeg2","Sandro Mani","NEW"," ---","CVE-2016-5139 openjpeg2: chromium-browser, openjpeg: Heap overflow in parsing of JPEG2000 precincts [fedora-all]","2017-03-23 00:10:38"
1431051,"Fedora","chromium","Tom ""spot"" Callaway","NEW"," ---","chromium: various flaws [fedora-all]","2017-03-10 03:58:34"
1441356,"Fedora","ansible1.9","Toshio Ernie Kuratomi","NEW"," ---","CVE-2017-7466 ansible1.9: ansible: Arbitrary code execution on control node (incomplete fix for CVE-2016-9587) [fedora-all]","2017-04-11 14:59:04"
1229751,"Fedora","rubygem-bson","Vít Ondruch","NEW"," ---","CVE-2015-4412 rubygem-bson: data injection vulnerability through a crafted ObjectId [fedora-all]","2016-07-26 01:11:04"
1432535,"Fedora","quake3","Xavier Lamien","NEW"," ---","CVE-2017-6903 quake3: Auto-downloaded .pk3 files can be loaded [fedora-all]","2017-03-15 12:13:33"
1425391,"Fedora","mingw-pcre","Adam Stokes","NEW"," ---","CVE-2017-6004 mingw-pcre: pcre: Out-of-bounds read in compile_bracket_matchingpath function [fedora-all]","2017-02-21 05:28:28"
1434513,"Fedora","mingw-pcre","Adam Stokes","NEW"," ---","CVE-2017-7186 mingw-pcre: pcre, pcre2: Invalid Unicode property lookup [fedora-all]","2017-03-21 12:04:00"
1404912,"Fedora","resteasy","Ade Lee","NEW"," ---","CVE-2016-9606 Resteasy: Yaml unmarshalling vulnerable to RCE [fedora-all]","2017-03-28 06:20:13"
1456313,"Fedora","resteasy","Ade Lee","NEW"," ---","CVE-2016-6346 RESTEasy: Abuse of GZIPInterceptor in RESTEasy can lead to denial of service attack [fedora-all]","2017-05-28 20:42:17"
1417593,"Fedora","python-oslo-middleware","Alan Pevec","NEW"," ---","CVE-2017-2592 python-oslo-middleware: CatchErrors leaks sensitive values into error logs [fedora-all]","2017-01-30 06:33:03"
